chr,pos,strand,mc_count,total
chr1,3003885,*,1,1
chr1,3003898,*,1,1
chr1,3011550,*,1,1
chr1,3019920,*,1,1
chr1,3020794,*,2,2
chr1,3020814,*,2,2
chr1,3020842,*,2,2
chr1,3020877,*,1,1
chr1,3022537,*,1,1
chr1,3022570,*,1,1
chr1,3022580,*,1,1
chr1,3028382,*,1,1
chr1,3028409,*,1,1
chr1,3047480,*,1,1
chr1,3079948,*,1,1
chr1,3084771,*,1,1
chr1,3098147,*,1,1
chr1,3114035,*,1,1
chr1,3117521,*,1,1
chr1,3143570,*,1,1
chr1,3143576,*,1,1
chr1,3143600,*,0,1
chr1,3143620,*,1,1
chr1,3143633,*,1,1
chr1,3144575,*,1,1
chr1,3147493,*,1,1
chr1,3147530,*,1,1
chr1,3147838,*,0,1
chr1,3147841,*,1,1
chr1,3147856,*,1,1
chr1,3147864,*,1,1
chr1,3147914,*,1,1
chr1,3159599,*,1,1
chr1,3159617,*,1,1
chr1,3160558,*,1,1
chr1,3160589,*,1,1
chr1,3160655,*,1,1
chr1,3203359,*,1,1
chr1,3203947,*,0,1
chr1,3215938,*,1,1
chr1,3216134,*,1,1
chr1,3216893,*,1,1
chr1,3216902,*,1,1
chr1,3235547,*,0,1
chr1,3244579,*,1,1
chr1,3246210,*,1,1
chr1,3257214,*,0,1
chr1,3261799,*,2,2
chr1,3263226,*,0,1
chr1,3282857,*,1,1
chr1,3283305,*,1,1
chr1,3283371,*,0,1
chr1,3283572,*,0,1
chr1,3294846,*,1,1
chr1,3302194,*,1,1
chr1,3302284,*,1,1
chr1,3312980,*,1,1
chr1,3313025,*,1,1
chr1,3393245,*,1,1
chr1,3400132,*,0,1
chr1,3400153,*,0,1
chr1,3415407,*,2,2
chr1,3435188,*,0,1
chr1,3451241,*,1,1
chr1,3451249,*,0,1
chr1,3462523,*,2,2
chr1,3467148,*,2,2
chr1,3476593,*,1,1
chr1,3484430,*,1,1
chr1,3488760,*,2,2
chr1,3526676,*,1,1
chr1,3528443,*,1,1
chr1,3532731,*,0,1
chr1,3532794,*,1,1
chr1,3533006,*,1,1
chr1,3533063,*,1,1
chr1,3533073,*,1,1
chr1,3533095,*,1,1
chr1,3533100,*,1,1
chr1,3533103,*,1,1
chr1,3581428,*,1,1
chr1,3581442,*,1,1
chr1,3615225,*,1,1
chr1,3649796,*,1,1
chr1,3662302,*,0,1
chr1,3665566,*,1,1
chr1,3665606,*,0,1
chr1,3669308,*,0,1
chr1,3670620,*,0,1
chr1,3670637,*,0,1
chr1,3670645,*,0,1
chr1,3670655,*,0,1
chr1,3670670,*,0,1
chr1,3670682,*,0,1
chr1,3670685,*,0,1
chr1,3670835,*,0,1
chr1,3670861,*,0,1
chr1,3670901,*,0,1
chr1,3670930,*,0,1
